# COLUMN NUMBERS: 
#	0: time [Gyr]
#	1: mgas [Msun]			ISM gas mass
#	2: mstar [Msun]			Stellar mass
#	3: sfr [Msun/yr]		Star formation rate
#	4: ifr [Msun/yr]		Infall rate
#	5: ofr [Msun/yr]		Outfow rate
#	6: eta_0			Mass-loading factor
#	7: r_eff			Effective recycilng rate
#	8: z_in(fe)			Inflow fe metallicity
#	9: z_in(o)			Inflow o metallicity
#	10: z_in(mg)			Inflow mg metallicity
#	11: z_out(fe)			Outflow fe metallicity
#	12: z_out(o)			Outflow o metallicity
#	13: z_out(mg)			Outflow mg metallicity
#	14: mass(fe) [Msun]		mass of element fe in ISM
#	15: mass(o) [Msun]		mass of element o in ISM
#	16: mass(mg) [Msun]		mass of element mg in ISM
0.000000e+00	1.000000e-12	0.000000e+00	0.000000e+00	nan	0.000000e+00	2.150000e+00	-nan	0.000000e+00	0.000000e+00	0.000000e+00	-nan	-nan	-nan	0.000000e+00	0.000000e+00	0.000000e+00	
6.500000e-02	7.823429e+08	1.030145e+07	3.911714e-01	1.298429e+01	8.410186e-01	2.150000e+00	1.592830e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.393207e-05	2.542715e-04	8.424945e-06	1.872309e+04	1.989275e+05	6.591196e+03	
7.000000e-02	8.411961e+08	1.194578e+07	4.205980e-01	1.303322e+01	9.042858e-01	2.150000e+00	1.633337e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.560982e-05	2.719056e-04	9.009244e-06	2.154288e+04	2.287259e+05	7.578541e+03	
7.500000e-02	8.998624e+08	1.370528e+07	4.499312e-01	1.308185e+01	9.673521e-01	2.150000e+00	1.670902e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.728683e-05	2.894716e-04	9.591314e-06	2.455439e+04	2.604846e+05	8.630863e+03	
8.000000e-02	9.583424e+08	1.557904e+07	4.791712e-01	1.313021e+01	1.030218e+00	2.150000e+00	1.705920e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.896334e-05	3.069702e-04	1.017119e-05	2.775680e+04	2.941825e+05	9.747479e+03	
8.500000e-02	1.016637e+09	1.756618e+07	5.083183e-01	1.317830e+01	1.092884e+00	2.150000e+00	1.738713e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.063954e-05	3.244016e-04	1.074889e-05	3.114927e+04	3.297985e+05	1.092772e+04	
9.000000e-02	1.074746e+09	1.966586e+07	5.373728e-01	1.322613e+01	1.155351e+00	2.150000e+00	1.769543e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.231555e-05	3.417662e-04	1.132446e-05	3.473099e+04	3.673117e+05	1.217091e+04	
9.500000e-02	1.132670e+09	2.187727e+07	5.663349e-01	1.327371e+01	1.217620e+00	2.150000e+00	1.798631e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.399148e-05	3.590645e-04	1.189789e-05	3.850112e+04	4.067015e+05	1.347638e+04	
1.000000e-01	1.190410e+09	2.419963e+07	5.952049e-01	1.332103e+01	1.279690e+00	2.150000e+00	1.826162e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.566741e-05	3.762968e-04	1.246920e-05	4.245884e+04	4.479474e+05	1.484346e+04	
1.050000e-01	1.247966e+09	2.663219e+07	6.239830e-01	1.336812e+01	1.341564e+00	2.150000e+00	1.852293e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.734341e-05	3.934634e-04	1.303839e-05	4.660331e+04	4.910290e+05	1.627147e+04	
1.100000e-01	1.305339e+09	2.917420e+07	6.526696e-01	1.341496e+01	1.403240e+00	2.150000e+00	1.877159e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.901952e-05	4.105648e-04	1.360548e-05	5.093371e+04	5.359263e+05	1.775977e+04	
1.150000e-01	1.362530e+09	3.182497e+07	6.812649e-01	1.346158e+01	1.464720e+00	2.150000e+00	1.900876e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.069578e-05	4.276011e-04	1.417047e-05	5.544922e+04	5.826193e+05	1.930769e+04	
