# COLUMN NUMBERS: 
#	0: time [Gyr]
#	1: mgas [Msun]			ISM gas mass
#	2: mstar [Msun]			Stellar mass
#	3: sfr [Msun/yr]		Star formation rate
#	4: ifr [Msun/yr]		Infall rate
#	5: ofr [Msun/yr]		Outfow rate
#	6: eta_0			Mass-loading factor
#	7: r_eff			Effective recycilng rate
#	8: z_in(fe)			Inflow fe metallicity
#	9: z_in(sr)			Inflow sr metallicity
#	10: z_in(o)			Inflow o metallicity
#	11: z_out(fe)			Outflow fe metallicity
#	12: z_out(sr)			Outflow sr metallicity
#	13: z_out(o)			Outflow o metallicity
#	14: mass(fe) [Msun]		mass of element fe in ISM
#	15: mass(sr) [Msun]		mass of element sr in ISM
#	16: mass(o) [Msun]		mass of element o in ISM
0.000000e+00	6.774622e+09	9.256525e+07	1.023693e+01	nan	-nan	1.847345e+00	9.577127e-02	0.000000e+00	0.000000e+00	0.000000e+00	-nan	-nan	-nan	0.000000e+00	0.000000e+00	0.000000e+00	
4.100000e-01	6.416039e+09	3.090079e+09	8.614310e+00	2.079574e+01	1.591360e+01	1.847345e+00	3.164551e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.624339e-04	1.073444e-08	4.476130e-03	3.608598e+06	6.887260e+01	2.871903e+07	
4.200000e-01	6.405903e+09	3.156774e+09	8.578156e+00	2.068532e+01	1.584682e+01	1.847345e+00	3.177972e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.716536e-04	1.087178e-08	4.523263e-03	3.661958e+06	6.964356e+01	2.897559e+07	
4.300000e-01	6.395696e+09	3.231040e+09	8.542156e+00	2.057568e+01	1.578031e+01	1.847345e+00	3.194569e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.806845e-04	1.100621e-08	4.568920e-03	3.713882e+06	7.039237e+01	2.922143e+07	
4.400000e-01	6.385420e+09	3.304857e+09	8.506308e+00	2.046394e+01	1.571409e+01	1.847345e+00	3.210806e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.895635e-04	1.113830e-08	4.613166e-03	3.764611e+06	7.112271e+01	2.945700e+07	
4.500000e-01	6.375076e+09	3.378228e+09	8.470612e+00	2.035314e+01	1.564814e+01	1.847345e+00	3.226701e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.982933e-04	1.126829e-08	4.656053e-03	3.814166e+06	7.183619e+01	2.968269e+07	
4.600000e-01	6.364665e+09	3.443139e+09	8.435067e+00	2.024326e+01	1.558248e+01	1.847345e+00	3.240252e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.068769e-04	1.139641e-08	4.697634e-03	3.862568e+06	7.253436e+01	2.989887e+07	
4.700000e-01	6.354189e+09	3.507666e+09	8.399673e+00	2.013596e+01	1.551710e+01	1.847345e+00	3.253552e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.152994e-04	1.152271e-08	4.737954e-03	3.909729e+06	7.321751e+01	3.010586e+07	
4.800000e-01	6.343649e+09	3.571812e+09	8.364429e+00	2.002948e+01	1.545199e+01	1.847345e+00	3.266612e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.235651e-04	1.164733e-08	4.777061e-03	3.955678e+06	7.388659e+01	3.030400e+07	
4.900000e-01	6.333045e+09	3.635583e+09	8.329334e+00	1.992379e+01	1.538715e+01	1.847345e+00	3.279441e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.316778e-04	1.177047e-08	4.815002e-03	4.000444e+06	7.454289e+01	3.049362e+07	
5.000000e-01	6.322379e+09	3.698981e+09	8.294387e+00	1.981887e+01	1.532260e+01	1.847345e+00	3.292050e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.396417e-04	1.189243e-08	4.851818e-03	4.044057e+06	7.518848e+01	3.067503e+07	
5.100000e-01	6.311653e+09	3.762011e+09	8.259588e+00	1.971472e+01	1.525831e+01	1.847345e+00	3.304448e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.474605e-04	1.201358e-08	4.887553e-03	4.086546e+06	7.582557e+01	3.084854e+07	
5.200000e-01	6.300867e+09	3.824676e+09	8.224937e+00	1.961132e+01	1.519430e+01	1.847345e+00	3.316642e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.551381e-04	1.213428e-08	4.922247e-03	4.127938e+06	7.645646e+01	3.101442e+07	
5.300000e-01	6.290023e+09	3.886981e+09	8.190433e+00	1.950865e+01	1.513056e+01	1.847345e+00	3.328642e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.626780e-04	1.225485e-08	4.955937e-03	4.168260e+06	7.708331e+01	3.117296e+07	
5.400000e-01	6.279122e+09	3.948927e+09	8.156074e+00	1.940671e+01	1.506708e+01	1.847345e+00	3.340455e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.700840e-04	1.237565e-08	4.988661e-03	4.207539e+06	7.770819e+01	3.132441e+07	
5.500000e-01	6.268164e+09	4.010519e+09	8.121861e+00	1.930548e+01	1.500388e+01	1.847345e+00	3.352087e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.773595e-04	1.249697e-08	5.020455e-03	4.245801e+06	7.833306e+01	3.146903e+07	
5.600000e-01	6.257151e+09	4.079358e+09	8.087793e+00	1.920495e+01	1.494094e+01	1.847345e+00	3.370952e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.845080e-04	1.261912e-08	5.051352e-03	4.283070e+06	7.895973e+01	3.160707e+07	
5.700000e-01	6.246085e+09	4.147764e+09	8.053869e+00	1.909913e+01	1.487828e+01	1.847345e+00	3.388844e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.916021e-04	1.274244e-08	5.081391e-03	4.319805e+06	7.959036e+01	3.173880e+07	
5.800000e-01	6.234965e+09	4.144170e+09	8.020088e+00	1.899468e+01	1.481587e+01	1.847345e+00	3.335565e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.986342e-04	1.286720e-08	5.110603e-03	4.355960e+06	8.022657e+01	3.186443e+07	
5.900000e-01	6.223794e+09	4.140961e+09	7.986451e+00	1.894790e+01	1.475373e+01	1.847345e+00	3.289265e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.049039e-04	1.299219e-08	5.138670e-03	4.387177e+06	8.086073e+01	3.198202e+07	
6.000000e-01	6.212572e+09	4.138090e+09	7.952956e+00	1.889565e+01	1.469185e+01	1.847345e+00	3.248514e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.105143e-04	1.311764e-08	5.165665e-03	4.414121e+06	8.149431e+01	3.209207e+07	
6.100000e-01	6.201300e+09	4.135517e+09	7.919602e+00	1.883913e+01	1.463024e+01	1.847345e+00	3.212273e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.155478e-04	1.324382e-08	5.191652e-03	4.437326e+06	8.212893e+01	3.219499e+07	
