APOGEE_ID,APOKASC2_AGE,APOKASC2_AGE_MERR,APOKASC2_AGE_PERR,DR16_ALP_M_COR,DR16_ALP_M_COR_ERR,DR16_FE_H,DR16_FE_H_ERR,DR16_M_H_COR,DR16_M_H_COR_ERR,DR16_O_FE,DR16_O_FE_ERR,ASTRONN_AGE,ASTRONN_AGE_ERR,TEFF,ASTRONN_TEFF_ERR,ASTRONN_LOGG,ASTRONN_LOGG_ERR,ASTRONN_C_H,ASTRONN_C_H_ERR,ASTRONN_N_H,ASTRONN_N_H_ERR,ASTRONN_O_H,ASTRONN_O_H_ERR,ASTRONN_TI_H,ASTRONN_TI_H_ERR,ASTRONN_FE_H,ASTRONN_FE_H_ERR,STARHORSE_M_H,STARHORSE_M_H_MERR,STARHORSE_M_H_PERR,ASTRONN_C_N,ASTRONN_C_N_ERR,ASTRONN_O_FE,ASTRONN_O_FE_ERR,AGE_DIFF
2M19345670+4123336,16.519617,6.969692,1.0596181,0.193009,0.0066932663,-0.17340155,0.007900401,-0.16097155,0.0067975903,0.220715,0.008799001,8.251965657475838,2.0658393120053034,4262.9067,18.039913,1.7330639,0.050109617,-0.04980123,0.029707875,0.063623406,0.022308491,0.07900823,0.027716482,-0.007207965,0.035777606,-0.17690937,0.021890793,-0.008970795,0.0036310302,0.006115188,-0.11342464,0.0371514,0.2559176,0.035318695,-8.267651423212639
2M19281105+4124491,17.579237,7.2278147,12.2745905,0.061178,0.007457872,-0.33999154,0.008401316,-0.33345154,0.0073030954,0.094105005,0.010540188,6.803770501474,2.0172120188177307,4357.98,14.746415,1.6871526,0.04360622,-0.374387,0.017051911,-0.12170188,0.01470326,-0.22373088,0.017796654,-0.3241262,0.036784567,-0.34895274,0.01840047,-0.28775683,0.007089615,0.011361688,-0.25268513,0.022515628,0.12522186,0.025598792,-10.77546648277893
2M19372243+4127269,15.346169,4.946968,2.2330663,0.196989,0.009525405,-0.66756153,0.009568447,-0.59817153,0.008622479,0.308775,0.019623118,8.477982588107448,2.0698914854781014,4843.2676,50.055447,2.641726,0.12207112,-0.39478874,0.036291737,-0.57525516,0.067178115,-0.20646076,0.0605154,-0.41104692,0.069221675,-0.5765418,0.040862333,-0.44005972,2.7030706e-05,0.0003695786,0.18046641,0.07635437,0.370081,0.073019475,-6.868186883633275
2M19171026+4135505,10.665961,4.5705924,6.79226,0.025677,0.006316416,-0.070261545,0.0072220573,-0.05772555,0.0062917517,0.044175997,0.009253617,5.308932388411187,1.748079420727202,4403.4155,16.480848,1.9802214,0.049256317,-0.13949424,0.014001418,0.1255675,0.016029371,-0.019121747,0.019844798,-0.062762395,0.03360966,-0.09770047,0.016056197,-0.06531394,0.004655868,0.01614666,-0.26506174,0.021283336,0.078578725,0.0255268,-5.357028877152778
2M18522063+4149520,17.378008,4.5547023,0.120458595,0.011742,0.006146194,-0.034979552,0.007240118,-0.02151955,0.0062535144,0.033186004,0.008387602,6.325469067888558,2.1853474449753176,4313.649,16.12444,1.8570055,0.042872917,-0.058673546,0.016707808,0.10647838,0.016376033,0.025873002,0.028816542,-0.008760905,0.034384377,-0.046950854,0.01877075,-0.01819337,0.01565756,0.0065148324,-0.16515192,0.023394985,0.07282385,0.0343909,-11.052538820905387
2M19253409+4156071,16.255487,8.330474,17.087154,0.170419,0.009440211,-0.28998154,0.011468834,-0.27786154,0.010125255,0.20885502,0.014618496,8.448536975203675,1.7620945114524211,4338.4404,16.723753,1.7347995,0.047807917,-0.22428368,0.01924662,-0.11817733,0.018244393,-0.052979253,0.026932558,-0.2037668,0.050208192,-0.31551543,0.020437859,-0.13822748,0.015893534,0.00775297,-0.10610635,0.026519619,0.26253617,0.0338093,-7.806950466812927
2M19012748+4202163,15.03142,5.1002593,2.4670472,0.011353001,0.0062373616,-0.05612055,0.007235949,-0.042358547,0.0062768105,0.036197998,0.0088102445,6.136895148294003,1.4674565186806654,4354.4233,16.702318,1.9317945,0.05214714,-0.083308026,0.01861107,0.11532883,0.019386182,-0.01873584,0.024086755,-0.050160166,0.034187187,-0.07024708,0.018405352,-0.052309103,0.000697881,0.0051573887,-0.19863686,0.026873704,0.051511236,0.030313838,-8.894524605734318
2M19061953+4200294,15.240527,5.5800185,2.5013673,0.049145997,0.0061842436,0.24571845,0.007439456,0.25917846,0.0065810937,0.073143005,0.010325431,6.757351035589975,1.6048386078492543,4504.575,29.408875,2.3475125,0.070567586,0.30357215,0.048858743,0.40277016,0.041555,0.28606343,0.03708261,0.3099507,0.046809662,0.21961994,0.03245856,0.25220692,0.0009340942,0.011554867,-0.09919801,0.06414043,0.06644349,0.04928162,-8.483176117425161
2M19515988+4203227,14.962357,5.279578,2.5361104,0.040441,0.0060217944,-0.00416355,0.007804781,0.02450145,0.006562336,0.06601,0.0067810244,7.292941659454028,2.681468600352707,4039.8674,24.543535,1.5222014,0.05862129,0.046640545,0.03695426,0.17846903,0.030950058,0.06221663,0.030575572,0.1678606,0.080116324,0.0028601377,0.02484919,0.05267409,0.015167136,0.00048146024,-0.13182849,0.048202943,0.059356492,0.039399844,-7.669414907928784
2M18490790+4211488,16.86553,6.001274,9.316299,0.073049,0.00798736,-0.44182155,0.008655124,-0.43408155,0.00759914,0.12408498,0.012234496,7.557920101107223,1.492072744419705,4494.937,20.64285,1.8173333,0.053678177,-0.5106037,0.027925929,-0.28881198,0.022657588,-0.32642063,0.026090194,-0.44021404,0.04462209,-0.45334494,0.021284267,-0.390335,0.00042006373,0.0004221797,-0.22179174,0.035961423,0.1269243,0.033670735,-9.307609912930863
2M19101979+4209464,11.376273,1.6488006,1.9589415,0.135349,0.0069626938,-0.14440155,0.007455077,-0.11069155,0.006656257,0.16332501,0.013448125,3.751195614803698,1.6549538804062052,4765.8438,24.317225,2.4051418,0.050737225,-0.023506284,0.04154101,0.30132592,0.061288867,0.06115854,0.021557787,-0.0250734,0.027122691,-0.1396178,0.021927519,-0.016657392,0.0003140159,0.00031401776,-0.3248322,0.0740404,0.20077634,0.030749867,-7.625077540408705
2M19104842+4214142,17.579237,5.6118307,8.243366,0.183009,0.008973966,-0.6210315,0.009381224,-0.61240155,0.008297188,0.23844498,0.014541902,8.450817980878629,3.0186144546949474,4559.21,33.001602,1.8056852,0.08160276,-0.62069774,0.033453364,-0.46881258,0.036279354,-0.36474892,0.033105157,-0.5548627,0.042840317,-0.6564739,0.033542383,-0.46701673,0.009037763,0.00974974,-0.15188515,0.049348954,0.29172495,0.04712794,-9.128419003374301
2M19054735+4221458,14.321879,3.7293417,2.9762845,0.010997001,0.007587228,0.062363453,0.009065286,0.074602455,0.00810095,0.034031004,0.013473767,6.3176573132067855,1.765076214559438,4526.364,23.865059,2.2155335,0.04799242,0.030161679,0.019584272,0.2956805,0.0295494,0.082024254,0.023670664,0.07946968,0.03391918,0.052852757,0.019248514,0.06473549,0.014078397,0.0010232925,-0.2655188,0.035450116,0.029171497,0.030509107,-8.00422207369507
